Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
rxn00225	acetate kinase	cpd00067[c] + cpd00002[c] + cpd00029[c]  <=> cpd00008[c] + cpd00196[c] 	H+ + ATP + Acetate  <=> ADP + Acetylphosphate 	(PA0836 or (PA3751 or PA0836))	PA0836 PA3751 PA0836		Pyruvate metabolism	Pyruvate metabolism	1	-1000	1000	0		2.7.2.1, 2.7.2.15		
rxn00003	acetolactate synthase (Also catalyzes ACHBS)	cpd00011[c] + cpd00668[c]  <=> cpd00067[c] + 2 cpd00020[c] 	CO2 + ALCTT  <=> H+ + 2 Pyruvate 	(PA4695 and PA4696)	PA4695 PA4696		Branched Chain Amino Acid Biosynthesis	Pantothenate and CoA biosynthesis	1	-1000	1000	0		2.2.1.6	*JAB 01/28/14 - MetaCyc indicates this reaction is reversible, reaction written backwards (usually pyruvate > ALCTT)	
rxn05347	Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd00067[c] + cpd11492[c] + cpd11494[c]  -> cpd11493[c] + cpd00011[c] + cpd11488[c] 	H+ + Malonyl-acyl-carrierprotein- + Acetyl-ACP  -> ACP + CO2 + Acetoacetyl-ACP 	(PA5174 or PA2965 or PA1609)	PA5174 PA2965 PA1609			Fatty acid biosynthesis	0	0	1000	0		2.3.1.41,2.3.1.85,2.3.1.86,2.3.1.179,2.3.1.180		
rxn00868	acyl-CoA dehydrogenase (butanoyl-CoA)	cpd00003[c] + cpd00120[c]  -> cpd00004[c] + cpd00067[c] + cpd00650[c] 	NAD + Butyryl-CoA  -> NADH + H+ + Crotonyl-CoA 		 		Exchange	Butanoate metabolism	0	0	1000	0		1.3.1.44,1.3.99.2	*JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality	
rxn02270	Acyl-CoA dehydrogenase (2-Methylbutanoyl - trans-2-methylbut)	cpd00760[c] + cpd00015[c]  -> cpd00982[c] + cpd02125[c] 	2-Methylbutyryl-CoA + FAD  -> FADH2 + Tiglyl-CoA 	PA0879	PA0879			Valine, leucine and isoleucine degradation	0	0	1000	0		1.3.8.7	*JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality	
rxn02268	acyl-CoA dehydrogenase (2-methylbutnoyl-CoA)	cpd00007[c] + 2 cpd00760[c]  -> 2 cpd00001[c] + 2 cpd02125[c] 	O2 + 2 2-Methylbutyryl-CoA  -> 2 H2O + 2 Tiglyl-CoA 	PA5020	PA5020			Valine, leucine and isoleucine degradation	0	0	1000	0		1.3.99.2		
rxn02866	isovaleryl-coA dehydrogenase	cpd01882[c] + cpd00015[c]  -> cpd00982[c] + cpd01966[c] 	Isovaleryl-CoA + FAD  -> FADH2 + Dimethylacryloyl-CoA 	PA2015	PA2015			Valine, leucine and isoleucine degradation	0	0	1000	0		1.3.99.3,1.3.99.10	*JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality	
rxn00469	acetylornithine deacetylase	cpd00001[c] + cpd00342[c]  <=> cpd00029[c] + cpd00064[c] 	H2O + N-Acetylornithine  <=> Acetate + Ornithine 	PA5206	PA5206		Arginine Putriscine and Spermidine Metabolism	Urea cycle and metabolism of amino groups	1	-1000	1000	0		3.5.1.14,3.5.1.16		
rxn00973	aconitase	cpd00137[c]  <=> cpd00260[c] 	Citrate  <=> Isocitrate 	(PA1787 or PA1562)	PA1787 PA1562		Citrate Cycle (TCA)	Citrate cycle (TCA cycle)	1	-1000	1000	0		4.2.1.3		
rxn01637	acetylornithine transaminase	cpd00024[c] + cpd00342[c]  <=> cpd00023[c] + cpd00918[c] 	2-Oxoglutarate + N-Acetylornithine  <=> L-Glutamate + 2-Acetamido-5-oxopentanoate 	PA0895	PA0895		Arginine Putriscine and Spermidine Metabolism	Arginine and proline metabolism	1	-1000	1000	0		2.6.1.11		
rxn06023	acyl-carrier protein synthase	cpd00010[c] + cpd12370[c]  <=> cpd11493[c] + cpd00045[c] 	CoA + apo-ACP  <=> ACP + Adenosine 3-5-bisphosphate 	PA1165	PA1165		Coenzyme A Biosynthesis	Pantothenate and CoA biosynthesis	1	-1000	1000	0		2.7.8.7		
rxn00175	acetyl-CoA synthetase	cpd00067[c] + cpd00010[c] + cpd00002[c] + cpd00029[c]  <=> cpd00022[c] + cpd00012[c] + cpd00018[c] 	H+ + CoA + ATP + Acetate  <=> Acetyl-CoA + PPi + AMP 	(PA2555 or PA4733 or PA0887)	PA2555 PA4733 PA0887			Pyruvate metabolism	1	-1000	1000	0		6.2.1.1		
rxn05488	acetate transport in/out via proton symport	cpd00067[e] + cpd00029[e]  <=> cpd00067[c] + cpd00029[c] 	H+ + Acetate  <=> H+ + Acetate 		 		Exchange	Transport	1	-1000	1000	0				
rxn01137	Adenosine deaminase	cpd00001[c] + cpd00067[c] + cpd00182[c]  -> cpd00013[c] + cpd00246[c] 	H2O + H+ + Adenosine  -> NH3 + Inosine 	PA0148	PA0148		Salvage Pathways	Purine metabolism	0	0	1000	0		3.5.4.4		
rxn03841	4-aminobenzoate synthase	cpd08210[c]  -> cpd00067[c] + cpd00020[c] + cpd00443[c] 	ADC  -> H+ + Pyruvate + ABEE 	PA2964	PA2964		Folate Metabolism	Folate biosynthesis	0	0	1000	0		4.1.3.38		
rxn03541	adenosylcobinamide-phosphate synthase	cpd02039[c] + cpd03917[c]  <=> cpd00001[c] + cpd03918[c] 	1-Aminopropan-2-ol + Adenosylcobyric acid  <=> H2O + Adenosyl cobinamide 	(PA1276 or PA1275)	PA1276 PA1275			Porphyrin and chlorophyll metabolism	1	-1000	1000	0			*ASB 03/28/14 - tentative subsystem assignment	
rxn03540	adenosylcobyric acid synthase	4 cpd00001[c] + 4 cpd00002[c] + 4 cpd00053[c] + cpd03916[c]  <=> 4 cpd00067[c] + 4 cpd00023[c] + 4 cpd00008[c] + 4 cpd00009[c] + cpd03917[c] 	4 H2O + 4 ATP + 4 L-Glutamine + Adenosyl cobyrinate diamide  <=> 4 H+ + 4 L-Glutamate + 4 ADP + 4 Phosphate + Adenosylcobyric acid 	PA1277	PA1277			Porphyrin and chlorophyll metabolism	1	-1000	1000	0		6.3.5.10		
rxn01257	4-amino-4-deoxychorismate synthase	cpd00053[c] + cpd00216[c]  <=> cpd00023[c] + cpd08210[c] 	L-Glutamine + Chorismate  <=> L-Glutamate + ADC 	PA1758	PA1758		Folate Metabolism	Folate biosynthesis	1	-1000	1000	0		2.6.1.85		
rxn00926	adenine deaminase	cpd00001[c] + cpd00067[c] + cpd00128[c]  -> cpd00013[c] + cpd00226[c] 	H2O + H+ + Adenine  -> NH3 + HYXN 	PA0148	PA0148			Purine metabolism	0	0	1000	0		3.5.4.2		
rxn13801	phenazine-1-carboxylic acid synthesis, step 1	cpd00053[c] + cpd00216[c]  <=> cpd00023[c] + cpd17073[c] 	L-Glutamine + Chorismate  <=> L-Glutamate + 2-amino-2-deoxyisochorismic acid 	(PA4214 or PA1903)	PA4214 PA1903				1	-1000	1000	0		2.6.1.86		
rxn00097	adenylate kinase	cpd00002[c] + cpd00018[c]  <=> 2 cpd00008[c] 	ATP + AMP  <=> 2 ADP 	PA3686	PA3686		Salvage Pathways	Purine metabolism	1	-1000	1000	0		2.7.4.3		
rxn08066	guanylate kinase (aMP:gTP)	cpd00018[c] + cpd00038[c]  <=> cpd00008[c] + cpd00031[c] 	AMP + GTP  <=> ADP + GDP 	PA3686	PA3686		Salvage Pathways	Purine metabolism	1	-1000	1000	0			*ASB 03/28/14 - tentative subsystem assignment	
rxn08067	adentylate kinase (ITP)	cpd00018[c] + cpd00068[c]  <=> cpd00008[c] + cpd00090[c] 	AMP + ITP  <=> ADP + IDP 	PA3686	PA3686		Salvage Pathways	Purine metabolism	1	-1000	1000	0		2.7.4.3		
rxn00127	Adenosylmethionine decarboxylase	cpd00067[c] + cpd00017[c]  -> cpd00011[c] + cpd00837[c] 	H+ + S-Adenosyl-L-methionine  -> CO2 + S-Adenosylmethioninamine 	PA0654	PA0654		Arginine Putriscine and Spermidine Metabolism	Methionine metabolism	0	0	1000	0		4.1.1.50		
rxn00065	adenylate cyclase	cpd00002[c]  -> cpd00012[c] + cpd00446[c] 	ATP  -> PPi + cAMP 	(PA2191 or PA5272 or PA3217)	PA2191 PA5272 PA3217			Purine metabolism	0	0	1000	0		4.6.1.1		
rxn00134	adenosine kinase	cpd00002[c] + cpd00182[c]  <=> cpd00008[c] + cpd00018[c] 	ATP + Adenosine  <=> ADP + AMP 	PA1950	PA1950		Salvage Pathways	Purine metabolism	1	-1000	1000	0		2.7.1.20, 2.7.1.74		
rxn00139	adenine phosphoribosyltransferase	cpd00128[c] + cpd00103[c] -> cpd00012[c] + cpd00018[c]	Adenine + PRPP -> PPi + AMP	PA1543	PA1543		Salvage Pathways	Purine metabolism	0	0	1000	0		2.4.2.7,2.4.2.8	*JAB 01/28/14 - reaction just written backwards according to MetaCyc, switched (?)	
rxn00361	adenylyl-sulfate kinase	cpd00002[c] + cpd00193[c]  <=> cpd00008[c] + cpd00044[c] 	ATP + APS  <=> ADP + 3-phosphoadenylylsulfate 	PA1393	PA1393		Cysteine Metabolism	Sulfur metabolism	1	-1000	1000	0		2.7.1.25		
rxn00800	adenylsuccinate lyase	cpd02375[c]  <=> cpd00018[c] + cpd00106[c] 	Adenylosuccinate  <=> AMP + Fumarate 	PA2629	PA2629		Purine and Pyrimidine Biosynthesis	Purine metabolism	1	-1000	1000	0		4.3.2.2	*JAB 02/18/14 - PA3516 and PA1517 both are potential adenylosuccinate lyases, but PA2629 is predicted essential in Manoil library and likely the main driver of this reaction	
rxn03136	adenylosuccinate lyase	cpd02921[c]  <=> cpd00106[c] + cpd02851[c] 	SAICAR  <=> Fumarate + AICAR 	PA2629	PA2629		Purine and Pyrimidine Biosynthesis	Purine metabolism	1	-1000	1000	0		4.3.2.2	*JAB 02/18/14 - PA3516 and PA1517 both are potential adenylosuccinate lyases, but PA2629 is predicted essential in Manoil library and likely the main driver of this reaction	
rxn00838	adenylosuccinate synthetase	cpd00038[c] + cpd00041[c] + cpd00114[c]  -> 2 cpd00067[c] + cpd00009[c] + cpd00031[c] + cpd02375[c] 	GTP + L-Aspartate + IMP  -> 2 H+ + Phosphate + GDP + Adenylosuccinate 	PA4938	PA4938		Purine and Pyrimidine Biosynthesis	Purine metabolism	0	0	1000	0		6.3.4.4	*JAB 02/18/14 - PA4938 added to essential genes list after determining PGD error in listing transposon mutant	
rxn01484	N-acetylglucosamine-6-phosphate deacetylase	cpd00001[c] + cpd00293[c]  <=> cpd00029[c] + cpd00288[c] 	H2O + N-Acetyl-D-glucosamine 6-phosphate  <=> Acetate + D-Glucosamine phosphate 	PA3758	PA3758		Alternate Carbon Metabolism	Amino sugar and nucleotide sugar metabolism	1	-1000	1000	0		3.5.1.25		
rxn03511	ADP-D-glycero-D-manno-heptose epimerase	cpd03830[c] <=> cpd03831[c]	ADP-D-glycero-D-manno-heptose <=> ADP-L-glycero-D-manno-heptose	PA3337	PA3337		Cell Envelope Biosynthesis	Lipopolysaccharide biosynthesis	0	0	1000	0				
rxn00858	agmatinase	cpd00001[c] + cpd00152[c]  -> cpd00073[c] + cpd00118[c] 	H2O + Agmatine  -> Urea + Putrescine 	(PA0288 or PA1421)	PA0288 PA1421		Arginine Putriscine and Spermidine Metabolism	Arginine and proline metabolism	0	0	1000	0		3.5.3.11		
rxn01029	agmatine deiminase	cpd00001[c] + cpd00152[c]  -> cpd00013[c] + cpd00341[c] 	H2O + Agmatine  -> NH3 + N-Carbamoylputrescine 	PA0292	PA0292			Arginine and proline metabolism	0	0	1000	0		3.5.3.12		
rxn02465	N-acetyl-g-glutamyl-phosphate reductase	cpd00006[c] + cpd00009[c] + cpd00918[c]  -> cpd00005[c] + cpd02552[c] 	NADP + Phosphate + 2-Acetamido-5-oxopentanoate  -> NADPH + n-acetylglutamyl-phosphate 	PA0662	PA0662		Arginine Putriscine and Spermidine Metabolism	Urea cycle and metabolism of amino groups	0	0	1000	0		1.2.1.38	*JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality	
rxn02186	acetohydroxy acid isomeroreductase	cpd00067[c] + cpd00005[c] + cpd00668[c]  <=> cpd00006[c] + cpd02498[c] 	H+ + NADPH + ALCTT  <=> NADP + 2,3-Dihydroxy-isovalerate 	PA4694	PA4694		Branched Chain Amino Acid Biosynthesis	Pantothenate and CoA biosynthesis	1	-1000	1000	0		1.1.1.86		
rxn00141	adenosylhomocysteinase	cpd00001[c] + cpd00019[c]  <=> cpd00182[c] + cpd00135[c] 	H2O + S-Adenosyl-homocysteine  <=> Adenosine + Homocysteine 	PA0432	PA0432		Methionine Metabolism	Methionine metabolism	1	-1000	1000	0		3.3.1.1		
rxn09997	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	cpd00001[c] + cpd02140[c]  <=> 0.5 cpd00007[c] + 2 cpd00067[c] + cpd00009[c] + cpd00229[c] + cpd00939[c] 	H2O + AIR  <=> 0.5 O2 + 2 H+ + Phosphate + Glycolaldehyde + Toxopyrimidine 	PA4973	PA4973		Thiamine Metabolism	Thiamine metabolism	1	-1000	1000	0		Undetermined		
rxn00453	O-acetylhomoserine (thiol)-lyase	cpd00324[c] + cpd00790[c]  -> cpd00067[c] + cpd00029[c] + cpd00060[c] 	MTTL + O-Acetyl-L-homoserine  -> H+ + Acetate + L-Methionine 	PA5025	PA5025				0	0	1000	0		2.5.1.49		
rxn03137	phosphoribosylaminoimidazolecarboxamide formyltransferase	cpd02851[c] + cpd00201[c]  <=> cpd00087[c] + cpd02884[c] 	AICAR + 10-Formyltetrahydrofolate  <=> Tetrahydrofolate + FAICAR 	PA4854	PA4854		Purine and Pyrimidine Biosynthesis	Purine metabolism	1	-1000	1000	0		2.1.2.3	*JAB 02/18/14 - PA4854 essential during in vivo infection, auxotrophic on minimal media (so reaction essentiality in LB is not terribly wrong)	Lehoux, D., Sanschagrin, F., & Levesque, R. C. (2002). Identification of in vivo essential genes from Pseudomonas aeruginosa by PCR-based signature-tagged mutagenesis. FEMS Microbiology Letters, 210, 73–80. Retrieved from http://onlinelibrary.wiley.com/doi/10.1111/j.1574-6968.2002.tb11162.x/full
rxn10053	phosphoribosylaminoimidazole carboxylase (ATP-dependent)	cpd00001[c] + cpd00011[c] + cpd00002[c] + cpd02140[c]  -> 2 cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd02893[c] 	H2O + CO2 + ATP + AIR  -> 2 H+ + ADP + Phosphate + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole 	PA5425	PA5425		Purine and Pyrimidine Biosynthesis	Purine metabolism	0	0	1000	0			*ASB 03/28/14 - tentative subsystem assignment	
rxn05115	phosphoribosylaminoimidazole carboxylase (mutase rxn)	cpd00067[c] + cpd11310[c]  -> cpd02893[c] 	H+ + 5-phosphoribosyl-5-carboxyaminoimidazole  -> 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole 	PA5426	PA5426		Purine and Pyrimidine Biosynthesis	Purine metabolism	0	0	1000	0			*ASB 03/28/14 - tentative subsystem assignment; JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality	
rxn02938	phosphoribosylaminoimidazole carboxylase	cpd00067[c] + cpd02893[c]  -> cpd00011[c] + cpd02140[c] 	H+ + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole  -> CO2 + AIR 	(PA5425 or PA5426)	PA5425 PA5426			Purine metabolism	0	0	1000	0		4.1.1.21		
rxn08094	2-oxoglutarate dehydrogenase	cpd00003[c] + cpd00024[c] + cpd00010[c]  <=> cpd00004[c] + cpd00011[c] + cpd00078[c] 	NAD + 2-Oxoglutarate + CoA  -> NADH + CO2 + Succinyl-CoA 	(PA4829 and PA1585 and PA1586)	PA4829 PA1585 PA1586		Citrate Cycle (TCA)		0	0	1000	0		1.2.4.2, 1.8.1.4, 2.3.1.61	*JAB 02/03/14 - made irreversible based on MetaCyc's preferred direction indication	
rxn05493	2-oxoglutarate transport in/out via proton symport	cpd00067[e] + cpd00024[e]  <=> cpd00067[c] + cpd00024[c] 	H+ + 2-Oxoglutarate  <=> H+ + 2-Oxoglutarate 	PA5530	PA5530		Transport Extracellular	Transport	1	-1000	1000	0			*JAB 01/13/14 - checked	
rxn03167	alkaline phosphatase (Dihydroneopterin)	3 cpd00001[c] + cpd02978[c]  -> 3 cpd00067[c] + 3 cpd00009[c] + cpd02961[c] 	3 H2O + 7,8-Dihydroneopterin 3'-triphosphate  -> 3 H+ + 3 Phosphate + Dihydroneopterin 	PA3296	PA3296		Folate Metabolism	Folate biosynthesis	0	0	1000	0		3.1.3.1		
rxn00283	alanine racemase (irreversible)	cpd00035[c]  <=> cpd00117[c] 	L-Alanine  <=> D-Alanine 	(PA5302) or (PA4930)	PA5302 PA4930		Alanine Biosynthesis	D-Alanine metabolism	1	-1000	1000	0		5.1.1.1	*JAB 02/18/14 - PA4930 added as isozyme to improve gene essentiality predictions	
rxn13803	Glutamine transaminase	cpd00023[c] + cpd00016[c]  <=> cpd00024[c] + cpd00493[c] 	L-Glutamate + Pyridoxal phosphate  <=> 2-Oxoglutarate + Pyridoxamine phosphate 	(PA2444 or PA5415)	PA2444 PA5415		Pyridoxine Metabolism		1	-1000	1000	0				
rxn00191	L-alanine transaminase	cpd00024[c] + cpd00035[c]  <=> cpd00023[c] + cpd00020[c] 	2-Oxoglutarate + L-Alanine  <=> L-Glutamate + Pyruvate 	PA2828	PA2828		Alanine Biosynthesis	Alanine, aspartate and glutamate metabolism	1	-1000	1000	0		2.6.1.2		
rxn08103	alanine transaminase	cpd00035[c] + cpd00016[c]  <=> cpd00020[c] + cpd00493[c] 	L-Alanine + Pyridoxal phosphate  <=> Pyruvate + Pyridoxamine phosphate 	(PA5415 or PA2444 or PA4602)	PA5415 PA2444 PA4602		Pyridoxine Metabolism		1	-1000	1000	0				
rxn10170	L-alanine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00035[e]  -> cpd00067[c] + cpd00035[c] + cpd00008[c] + cpd00009[c] 	H2O + ATP + L-Alanine  -> H+ + L-Alanine + ADP + Phosphate 	(PA1074 and PA1073 and PA1072 and PA1071 and PA1070)	PA1074 PA1073 PA1072 PA1071 PA1070		Transport Extracellular	Transport	0	0	1000	0				
rxn05215	probable AGCS sodium/alanine/glycine symporter	cpd00035[e] + cpd00971[e]  <=> cpd00035[c] + cpd00971[c] 	L-Alanine + Na+  <=> L-Alanine + Na+ 	(PA3461 or PA2252 or PA2533)	PA3461 PA2252 PA2533			Transport	1	-1000	1000	0		Undetermined		
rxn00763	alcohol dehydrogenase (glycerol)	cpd00003[c] + cpd00100[c]  <=> cpd00004[c] + cpd00067[c] + cpd00448[c] 	NAD + Glycerol  <=> NADH + H+ + D-Glyceraldehyde 	PA3629	PA3629		Alternate Carbon Metabolism	Glycerolipid metabolism	1	-1000	1000	0		1.1.1.1,1.1.1.2,1.1.1.21,1.1.1.72		
rxn13804	alcohol dehydrogenase (ethanol, ubq8)	cpd00363[c] + cpd11669[c]  -> cpd00071[c] + cpd15561[c] 	Ethanol + Ubiquinone  -> Acetaldehyde + Ubiquinol-8 	(PA5427 or (PA1982 and PA1983))	PA5427 PA1982 PA1983			Glycolysis / Gluconeogenesis	0	-1000	0	0			*ASB 03/28/14 - tentative subsystem assigment	
rxn00429	aldehyde dehydrogenase (formaldehyde, NAD)	cpd00001[c] + cpd00003[c] + cpd00055[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd00047[c] 	H2O + NAD + Formaldehyde  -> NADH + 2 H+ + Formate 	PA5421	PA5421			Methane metabolism	0	0	1000	0		1.2.1.46		
rxn00506	aldehyde dehydrogenase (acetaldehyde, NAD)	cpd00001[c] + cpd00003[c] + cpd00071[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd00029[c] 	H2O + NAD + Acetaldehyde  -> NADH + 2 H+ + Acetate 	(PA1984 or PA4022 or PA0219 or PA5312)	PA1984 PA4022 PA0219 PA5312		Alternate Carbon Metabolism	Pyruvate metabolism	0	0	1000	0		1.2.1.3,1.2.1.5		
rxn00638	GDP-mannose 6-dehydrogenase	cpd00001[c] + 2 cpd00003[c] + cpd00083[c]  <=> 2 cpd00004[c] + 3 cpd00067[c] + cpd00719[c] 	H2O + 2 NAD + GDP-mannose  <=> 2 NADH + 3 H+ + GDP-D-mannuronate 	PA3540	PA3540			Fructose and mannose metabolism	1	-1000	1000	0				
rxn13920	Alginate production outer membrane protein	cpd17074[c]  <=> cpd17074[e] 	Acetylated Alginate  <=> Acetylated Alginate 	PA3544	PA3544			Transport	1	-1000	1000	0				
rxn13805	Poly(beta-d-mannuronate) lyase precursor	2 cpd00719[c]  <=> 2 cpd00031[c] + cpd11949[c] 	2 GDP-D-mannuronate  <=> 2 GDP + Alginate 	(PA3542 and PA3541)	PA3542 PA3541				1	-1000	1000	0				
rxn13806	alginate o-acetyltransferase	cpd11494[c] + cpd17075[c]  <=> cpd11493[c] + cpd17074[c] 	Acetyl-ACP + Epimerized Alginate Dimer  <=> ACP + Acetylated Alginate 	(PA3550 and PA3548 and PA3549)	PA3550 PA3548 PA3549				1	-1000	1000	0				
rxn13807	alginate-c5-mannuronan-epimerase	cpd11949[c]  <=> cpd17075[c] 	Alginate  <=> Epimerized Alginate Dimer 	(PA3545 and PA3543 and PA3546)	PA3545 PA3543 PA3546				1	-1000	1000	0				
rxn01746	allantoicase	cpd00001[c] + cpd00388[c]  <=> cpd00073[c] + cpd00465[c] 	H2O + Allantoate  <=> Urea + Ureidoglycolate 	PA1515	PA1515			Purine metabolism	1	-1000	1000	0		3.5.3.4		
rxn01748	allantoinase	cpd00001[c] + cpd01092[c]  <=> cpd00067[c] + cpd00388[c] 	H2O + Allantoin  <=> H+ + Allantoate 		 		Exchange	Purine metabolism	1	-1000	1000	0		3.5.2.5		
rxn05682	allantoin transport in/out via proton symport	cpd00067[e] + cpd01092[e]  <=> cpd00067[c] + cpd01092[c] 	H+ + Allantoin  <=> H+ + Allantoin 	(PA0443 or PA1419 or PA2073 or PA0438 or PA0476 or PA5099)	PA0443 PA1419 PA2073 PA0438 PA0476 PA5099			Transport	1	-1000	1000	0		Undetermined	*JAB 01/13/14 - checked	
rxn02875	N-acetylmuramoyl-L-alanine amidase	cpd00001[c] + cpd01923[c]  <=> cpd00035[c] + cpd03485[c] 	H2O + N-Acetylmuramoyl-Ala  <=> L-Alanine + N-Acetyl-D-muramoate 	PA4947	PA4947				1	-1000	1000	0		3.5.1.28		
rxn02312	adenosylmethionine-8-amino-7-oxononanoate transaminase	cpd00017[c] + cpd00800[c]  <=> cpd00764[c] + cpd02701[c] 	S-Adenosyl-L-methionine + 8-Amino-7-oxononanoate  <=> 7-8-Diaminononanoate + S-Adenosyl-4-methylthio-2-oxobutanoate 	PA0420	PA0420		Biotin Biosynthesis	Biotin metabolism	1	-1000	1000	0		2.6.1.62		
rxn06831	S-adenosylmethione:2-demethylmenaquinone methyltransferase	cpd00067[c] + cpd00017[c] + cpd11425[c]  -> cpd00019[c] + cpd11451[c] 	H+ + S-Adenosyl-L-methionine + 2dmmq7  -> S-Adenosyl-homocysteine + mql7 	PA1772	PA1772		Quinone Biosynthesis Menaquinone		0	0	1000	0				
rxn00131	AMP nucleosidase	cpd00001[c] + cpd00018[c]  <=> cpd00128[c] + cpd00101[c] 	H2O + AMP  <=> Adenine + ribose-5-phosphate 	PA3970	PA3970		Salvage Pathways	Purine metabolism	1	-1000	1000	0		3.2.2.4		
rxn13808	assimilatory nitrite reductase	3 cpd00004[c] + 4 cpd00067[c] + cpd00075[c]  <=> cpd00001[c] + 3 cpd00003[c] + cpd00985[c] 	3 NADH + 4 H+ + Nitrite  <=> H2O + 3 NAD + NH4OH 	(PA1781 and PA1780)	PA1781 PA1780			Nitrogen metabolism	1	-1000	1000	0		1.7.1.4, 1.7.1.15		
rxn00791	anthranilate phosphoribosyltransferase	cpd00103[c] + cpd00093[c] -> cpd00012[c] + cpd02642[c]	PRPP + Anthranilate -> PPi + N-5-phosphoribosyl-anthranilate	PA0650	PA0650		Aromatic Amino Acids	Phenylalanine, tyrosine and tryptophan biosynthesis	0	0	1000	0		2.4.2.18	*JAB 01/31/14 - reaction written backwards in SEED, flipped, left irreversible even though MetaCyc says may be reversible	
rxn00727	anthranilate synthase	cpd00053[c] + cpd00216[c]  -> cpd00067[c] + cpd00023[c] + cpd00020[c] + cpd00093[c] 	L-Glutamine + Chorismate  -> H+ + L-Glutamate + Pyruvate + Anthranilate 	((PA1001 and PA1002) or (PA0609 and PA0649))	PA1001 PA1002 PA0609 PA0649		Aromatic Amino Acids	Phenylalanine, tyrosine and tryptophan biosynthesis	0	0	1000	0		4.1.3.27		
rxn02297	8-amino-7-oxononanoate synthase	cpd00067[c] + cpd00035[c] + cpd00782[c]  -> cpd00011[c] + cpd00010[c] + cpd00800[c] 	H+ + L-Alanine + Pimeloyl-CoA  -> CO2 + CoA + 8-Amino-7-oxononanoate 	PA0501	PA0501		Biotin Biosynthesis	Biotin metabolism	0	0	1000	0		2.3.1.47		
rxn00095	Ap4A hydrolase, reversible	cpd00001[c] + cpd00924[c]  -> 2 cpd00008[c] 	H2O + AppppA  -> 2 ADP 	PA0590	PA0590			Purine metabolism	0	0	1000	0		3.6.1.41		
rxn02474	5-amino-6-(5-phosphoribosylamino)uracil reductase	cpd00006[c] + cpd02720[c]  <=> cpd00067[c] + cpd00005[c] + cpd00931[c] 	NADP + 5-Amino-6--5-phosphoribitylaminouracil  <=> H+ + NADPH + 5-Amino-6--5-phosphoribosylaminouracil 	PA4056	PA4056		Riboflavin Metabolism	Riboflavin metabolism	1	-1000	1000	0		1.1.1.193		
rxn13809	Arginine:Agmatine antiporter	cpd00152[c] + cpd00051[e]  <=> cpd00051[c] + cpd00152[e] 	Agmatine + L-Arginine  <=> L-Arginine + Agmatine 	PA1819	PA1819			Transport	1	-1000	1000	0				
rxn00405	arginine decarboxylase	cpd00067[c] + cpd00051[c]  -> cpd00011[c] + cpd00152[c] 	H+ + L-Arginine  -> CO2 + Agmatine 	(PA4839 or (PA4519 or PA1818))	PA4839 PA4519 PA1818		Arginine Putriscine and Spermidine Metabolism	Urea cycle and metabolism of amino groups	0	0	1000	0		4.1.1.19		
rxn00395	arginine deiminase	cpd00001[c] + cpd00051[c]  -> cpd00013[c] + cpd00274[c] 	H2O + L-Arginine  -> NH3 + Citrulline 	PA5171	PA5171			Arginine and proline metabolism	0	0	1000	0		3.5.3.6		
rxn00394	arginase	cpd00001[c] + cpd00051[c]  -> cpd00064[c] + cpd00073[c] 	H2O + L-Arginine  -> Ornithine + Urea 	(PA1421 or PA0288 or PA3175)	PA1421 PA0288 PA3175		Amino Acid Degradation	Arginine and proline metabolism	0	0	1000	0		3.5.3.1		
rxn10131	Arginine/ornithine antiporter	cpd00064[c] + cpd00051[e]  <=> cpd00051[c] + cpd00064[e] 	Ornithine + L-Arginine  <=> L-Arginine + Ornithine 	PA5170	PA5170			Transport	1	-1000	1000	0				
rxn00802	argininosuccinate lyase	cpd02152[c]  <=> cpd00106[c] + cpd00051[c] 	L-Argininosuccinate  <=> Fumarate + L-Arginine 	PA5263	PA5263		Arginine Putriscine and Spermidine Metabolism	Arginine and proline metabolism	1	-1000	1000	0		4.3.2.1		
rxn01434	argininosuccinate synthase	cpd00002[c] + cpd00041[c] + cpd00274[c]  <=> cpd00012[c] + cpd00018[c] + cpd02152[c] 	ATP + L-Aspartate + Citrulline  <=> PPi + AMP + L-Argininosuccinate 	PA3525	PA3525		Arginine Putriscine and Spermidine Metabolism	Arginine and proline metabolism	1	-1000	1000	0		6.3.4.5		
